TripID,StartDate,StartTime,EndDate,EndTime,TripDuration,TripDistance,StartLatitude,StartLongitude,EndLatitude,EndLongitude,DayOfWeek,HourNum
b0fdb419-f8f6-514b-b540-f9e1bc95e255,2/1/2020,12:15,2/1/2020,12:30,2,0.296,38.22,-85.745,38.223,-85.748,7,12
dda70d39-2b32-57ce-a9a3-d612ae0e0eca,2/1/2020,12:15,2/1/2020,12:45,15,0.321,38.218,-85.765,38.217,-85.771,7,12
22314d90-3407-582f-a489-066fecff5115,2/1/2020,12:15,2/1/2020,12:15,8,0.019,38.253,-85.757,38.253,-85.757,7,12
1496e4dd-ee6e-5dc8-8f64-0225c9aa033b,2/1/2020,12:15,2/1/2020,12:30,15,0.379,38.221,-85.763,38.22,-85.769,7,12
18c7d740-b888-520e-b354-0f9863c2be39,2/1/2020,12:45,2/1/2020,13:00,15,1.612,38.249,-85.755,38.24,-85.735,7,12
92551854-d4d3-5441-9d77-222e2d039314,2/1/2020,12:45,2/1/2020,13:00,14,0.019,38.249,-85.757,38.249,-85.757,7,12
05bbf5a0-eead-5385-94a5-e7dcacaad143,2/1/2020,12:45,2/1/2020,12:45,8,1.306,38.248,-85.752,38.229,-85.755,7,12
d381bd25-edc5-5e00-8c72-2b3049fb4a33,2/1/2020,12:45,2/1/2020,12:45,7,0.833,38.219,-85.763,38.21,-85.757,7,12
0d08f423-08db-5503-a5f8-a9ba15262b8e,2/1/2020,13:00,2/1/2020,13:15,10,0.229,38.217,-85.756,38.215,-85.753,7,13
5a3f534c-08d7-55e6-bd6e-6d42f7f4f635,2/1/2020,13:15,2/1/2020,13:30,4,0.361,38.245,-85.739,38.245,-85.745,7,13
8dd98c76-2a0e-5954-94f2-f3fa22b327c4,2/1/2020,13:15,2/1/2020,14:45,77,2.495,38.258,-85.742,38.257,-85.754,7,13
214ea591-6ae0-5f12-b48b-7f4a8084b10b,2/1/2020,13:15,2/1/2020,13:15,3,0.59,38.221,-85.764,38.217,-85.759,7,13
1c884c95-9787-5867-80fd-fc12b0b4f686,2/1/2020,13:30,2/1/2020,13:30,4,0.247,38.257,-85.746,38.256,-85.747,7,13
25193691-5a35-5faa-82a2-2e38a79b5081,2/1/2020,13:30,2/1/2020,13:30,1,0.178,38.256,-85.747,38.256,-85.748,7,13
085c8530-1485-5607-95c9-07997ffd0667,2/1/2020,13:45,2/1/2020,13:45,6,0.827,38.208,-85.755,38.218,-85.76,7,13
55c2537d-2203-534a-bd97-5effb5fd26a3,2/1/2020,13:45,2/1/2020,14:00,5,0.762,38.246,-85.73,38.243,-85.727,7,13
1e496d01-a8e6-5b82-bf40-8cdf5593f46a,2/1/2020,13:45,2/1/2020,13:45,12,0.805,38.241,-85.738,38.238,-85.73,7,13
15f589aa-551d-5d1d-adee-c183da8da3a9,2/1/2020,13:45,2/1/2020,13:45,11,0.701,38.239,-85.737,38.237,-85.729,7,13
66b84dac-f5ab-53e4-9d27-0813093a1249,2/1/2020,13:45,2/1/2020,13:45,2,0.237,38.217,-85.762,38.217,-85.759,7,13
e3d0580b-b09a-5f91-a746-7e9584cd1f9a,2/1/2020,14:00,2/1/2020,14:00,3,0.526,38.219,-85.763,38.226,-85.761,7,13
442b7e20-78a9-56a0-8c9b-cdb295f66e86,2/1/2020,14:00,2/1/2020,14:00,2,0.15,38.217,-85.761,38.217,-85.762,7,13
bfd4c0df-8d31-5122-9198-0ebf97ce474f,2/1/2020,14:00,2/1/2020,14:00,1,0.039,38.257,-85.762,38.257,-85.761,7,14
ca5a1dba-49c7-5871-8e5d-308e16095907,2/1/2020,14:15,2/1/2020,14:15,9,0.345,38.257,-85.76,38.257,-85.757,7,14
0bb6c139-f93d-5c20-918a-5d5bc9a38f03,2/1/2020,14:15,2/1/2020,14:30,2,0.285,38.245,-85.725,38.248,-85.727,7,14
ee6c0689-c887-578a-9cc0-7de0a9f7703b,2/1/2020,14:15,2/1/2020,14:15,3,0.43,38.256,-85.752,38.255,-85.744,7,14
f5cd1096-f829-5c6a-b589-4f2e3da827bd,2/1/2020,14:30,2/1/2020,14:45,3,0.19,38.254,-85.758,38.253,-85.755,7,14
82c0a958-f79c-5fdd-b05f-81ba9cb3f57c,2/1/2020,14:30,2/1/2020,14:30,4,0.532,38.218,-85.761,38.211,-85.765,7,14
1bc12bbb-9489-5a20-8d7c-682ddb3dbd3c,2/1/2020,14:30,2/1/2020,14:45,4,0.561,38.212,-85.763,38.205,-85.764,7,14
446f4b13-e4e7-5cce-80bb-08bd04e57b6b,2/1/2020,14:45,2/1/2020,15:00,6,0.754,38.255,-85.752,38.253,-85.738,7,14
b4fc32c3-b571-5778-b65c-45c35f9731b9,2/1/2020,14:45,2/1/2020,15:30,46,0.342,38.265,-85.732,38.268,-85.736,7,14
c88541ea-512f-5759-9da4-529d7e3733fa,2/1/2020,14:45,2/1/2020,15:30,36,0.865,38.261,-85.736,38.264,-85.74,7,14
2d9af208-d0f9-5dca-878b-2bb5505ea299,2/1/2020,14:45,2/1/2020,14:45,7,0.659,38.247,-85.756,38.251,-85.757,7,14
3c1de48b-71b1-5b75-b0f8-27fb4ea4baf2,2/1/2020,14:45,2/1/2020,14:45,8,0.913,38.258,-85.745,38.261,-85.741,7,14
94440f94-581b-5f11-b68f-b1484aefc3e0,2/1/2020,15:00,2/1/2020,15:15,8,0.39,38.256,-85.746,38.256,-85.753,7,15
7f1749c6-af40-5662-8edd-189fc3596bcb,2/1/2020,15:15,2/1/2020,15:30,11,0.902,38.257,-85.756,38.253,-85.757,7,15
27a6fbad-e50b-522c-9f91-82a535965cd5,2/1/2020,15:15,2/1/2020,15:30,13,2.058,38.23,-85.752,38.258,-85.749,7,15
0bb0e13a-dc49-5b60-9956-cd292749a504,2/1/2020,15:15,2/1/2020,15:30,11,0.923,38.257,-85.757,38.253,-85.757,7,15
2a112e9c-4f18-53e1-9260-abdb06f11cf4,2/1/2020,15:15,2/1/2020,15:30,7,1.47,38.224,-85.765,38.245,-85.762,7,15
5e0557d8-9c85-5a6f-ba82-52a373658453,2/1/2020,15:30,2/1/2020,16:15,45,2.284,38.257,-85.745,38.258,-85.745,7,15
57d06499-fb87-52e0-9b16-3f91423d1d46,2/1/2020,15:30,2/1/2020,16:15,42,0.399,38.257,-85.747,38.258,-85.74,7,15
55608b1c-a0a9-5b90-aeef-d92c6dd3e72d,2/1/2020,15:30,2/1/2020,15:30,8,0.973,38.258,-85.756,38.257,-85.757,7,15
72023c24-d99e-518a-8926-9d998e1c5c36,2/1/2020,15:30,2/1/2020,15:45,13,0.843,38.256,-85.753,38.257,-85.754,7,15
ba67c25d-58a4-56d0-bd6f-4552e3e3ff57,2/1/2020,15:45,2/1/2020,16:00,4,0.391,38.254,-85.757,38.257,-85.76,7,15
e9148a53-1cfb-59cb-8f76-62fb88c278ed,2/1/2020,15:45,2/1/2020,16:00,6,0.545,38.221,-85.763,38.214,-85.762,7,15
79bc675d-6cb0-5e29-8cc7-566666ac590e,2/1/2020,15:45,2/1/2020,15:45,8,1.183,38.221,-85.763,38.205,-85.764,7,15
65a2422f-abae-5814-a0c7-cf70a2ed4a1a,2/1/2020,15:45,2/1/2020,16:00,5,0.879,38.205,-85.764,38.218,-85.762,7,15
331a91a7-405e-5c52-baf9-7263ffdf3d8a,2/1/2020,15:45,2/1/2020,16:00,4,0.374,38.254,-85.757,38.257,-85.76,7,15
4c64d049-a0d1-590e-952a-2c3c06ab88b5,2/1/2020,16:00,2/1/2020,16:15,17,1.006,38.257,-85.755,38.251,-85.739,7,16
e38d8c2c-3850-52f1-89c7-5f6c219254bc,2/1/2020,16:00,2/1/2020,16:00,2,0.199,38.254,-85.755,38.253,-85.758,7,15
6bda17bd-1690-581c-ba22-e6da6e3a2b79,2/1/2020,16:15,2/1/2020,16:15,9,0.92,38.256,-85.747,38.25,-85.736,7,16
0022f75e-a876-5ab6-8264-47dd8c2adc80,2/1/2020,16:30,2/1/2020,16:45,8,0.717,38.256,-85.731,38.248,-85.732,7,16
fc086e14-eaa7-57cb-9248-410b65614889,2/1/2020,16:30,2/1/2020,16:45,8,0.863,38.259,-85.734,38.249,-85.734,7,16
31188c16-4770-551c-86d1-93beef7e18c2,2/1/2020,16:45,2/1/2020,16:45,2,0.003,38.227,-85.735,38.227,-85.735,7,16
8e03a5e9-91ca-5263-8187-123b091e9934,2/1/2020,16:45,2/1/2020,17:00,16,0.003,38.221,-85.755,38.221,-85.755,7,16
cec25437-9522-58f7-a537-200487e50a66,2/1/2020,16:45,2/1/2020,17:15,30,0.203,38.257,-85.756,38.257,-85.757,7,16
bcb1de5d-9154-5852-b2bf-44dd4fd56bfa,2/1/2020,16:45,2/1/2020,17:15,43,1.297,38.253,-85.761,38.251,-85.758,7,16
605eab69-c7ab-514b-b1f0-41cc8a47689e,2/1/2020,16:45,2/1/2020,17:00,2,0.243,38.217,-85.759,38.217,-85.762,7,16
c488e844-85d7-5f64-95ee-e70fc7aeef0d,2/1/2020,17:00,2/1/2020,17:00,8,0.752,38.25,-85.736,38.252,-85.74,7,16
44a79339-40a8-5afb-a21c-18166dc48cee,2/1/2020,17:00,2/1/2020,17:00,9,0.245,38.25,-85.737,38.252,-85.741,7,16
e5416534-afa5-51c0-9d5e-0b3b0aaac238,2/1/2020,17:00,2/1/2020,17:15,17,1.341,38.206,-85.765,38.199,-85.783,7,16
288b0266-6d2e-5646-a3de-da36a7499a3e,2/1/2020,17:30,2/1/2020,17:30,12,0.966,38.25,-85.762,38.244,-85.752,7,17
14d07ac7-0f04-5c04-8872-e7338c28ee51,2/1/2020,17:30,2/1/2020,17:30,3,0.237,38.219,-85.757,38.219,-85.762,7,17
f0eb408f-e93c-5364-8e49-5bbfe60c5dbb,2/1/2020,17:30,2/1/2020,17:45,15,2.634,38.204,-85.768,38.236,-85.752,7,17
e0bc675a-1121-5bc6-bded-23fd3fcae3bc,2/1/2020,17:45,2/1/2020,17:45,0,0.006,38.247,-85.747,38.246,-85.747,7,17
fc78d6a1-bb06-515c-a26d-a13d7336cb1f,2/1/2020,17:45,2/1/2020,17:45,2,0.012,38.239,-85.752,38.238,-85.752,7,17
cec98de2-9802-53a4-af06-2326cf91765f,2/1/2020,17:45,2/1/2020,19:00,61,0.91,38.241,-85.758,38.24,-85.752,7,17
1d5b0475-b792-545f-8cf5-2b11e142e8ce,2/1/2020,18:00,2/1/2020,18:00,2,0.001,38.254,-85.748,38.254,-85.748,7,18
597d912d-1cf1-5586-8eeb-51593baa9c26,2/1/2020,18:15,2/1/2020,18:30,7,1.061,38.246,-85.759,38.25,-85.778,7,18
0d81eebb-eb5c-5f8d-b7b4-fbf8964009c1,2/1/2020,18:15,2/1/2020,18:30,4,0.448,38.251,-85.757,38.256,-85.757,7,18
79311889-b1ce-5d3e-8576-c23baf0a0f74,2/1/2020,18:15,2/1/2020,18:30,3,0.314,38.252,-85.74,38.254,-85.745,7,18
fb3de05a-1805-592b-a6a6-f2055534f2e7,2/1/2020,18:30,2/1/2020,18:30,3,0.217,38.247,-85.73,38.246,-85.733,7,18
d5470759-da2c-5389-976c-84c393c0224d,2/1/2020,18:30,2/1/2020,18:45,17,1.304,38.253,-85.737,38.249,-85.758,7,18
ad3968b3-a91e-5366-9027-846581d77b3b,2/1/2020,18:30,2/1/2020,18:45,16,1.159,38.253,-85.737,38.249,-85.758,7,18
7cab5fd6-88fd-589c-91c2-251aff73836b,2/1/2020,18:30,2/1/2020,18:45,10,0.002,38.257,-85.752,38.257,-85.752,7,18
e189b538-3682-54ff-a5ab-af4b389abd8b,2/1/2020,18:30,2/1/2020,18:30,9,0.304,38.247,-85.73,38.246,-85.733,7,18
4b5001e6-e884-5071-88f8-5d849d7ce9b2,2/1/2020,18:30,2/1/2020,18:30,5,0.81,38.217,-85.761,38.214,-85.769,7,18
7cdf6e65-7ba2-5875-8223-88d5fa7dca40,2/1/2020,19:00,2/1/2020,19:15,11,0.674,38.215,-85.755,38.215,-85.767,7,18
c743bbb3-aea8-5486-97a6-c8fb4cdde5be,2/1/2020,19:15,2/1/2020,19:45,30,1.218,38.254,-85.756,38.257,-85.741,7,19
aa1333ec-15bc-518c-b7cb-8a062e293ede,2/1/2020,19:15,2/1/2020,19:15,3,0.972,38.22,-85.758,38.218,-85.763,7,19
36a3cbd2-d832-5844-a5d8-26a7b88b7b14,2/1/2020,19:30,2/1/2020,19:45,4,0.287,38.249,-85.739,38.25,-85.744,7,19
a173f52f-bf59-5fb3-9bd1-2b26d4447f8d,2/1/2020,19:45,2/1/2020,19:45,10,0.206,38.256,-85.753,38.256,-85.754,7,19
5bb414b6-24cb-5339-80f9-ffce3a9049d9,2/1/2020,20:00,2/1/2020,20:00,1,0.113,38.258,-85.756,38.257,-85.756,7,20
9dac99cd-e14e-5da9-8dd1-cbc71fc595a6,2/1/2020,20:00,2/1/2020,20:00,3,0.372,38.246,-85.758,38.251,-85.758,7,20
9e565452-0417-51ea-b566-d7cc9970a706,2/1/2020,20:15,2/1/2020,20:30,2,0.01,38.257,-85.761,38.257,-85.76,7,20
bde1b2ff-14c6-5306-b5a6-df295ad1db3d,2/1/2020,20:15,2/1/2020,20:30,18,0.866,38.257,-85.757,38.259,-85.741,7,20
3143caee-de69-55f9-855c-4161fe74b865,2/1/2020,20:15,2/1/2020,20:15,3,0.342,38.257,-85.757,38.253,-85.757,7,20
e95a47c4-6670-57f2-b0e1-d9d9e378e3f9,2/1/2020,20:15,2/1/2020,20:45,18,2.386,38.253,-85.757,38.253,-85.736,7,20
2eb7a264-dfaf-5f45-9dec-3123ade11830,2/1/2020,20:15,2/1/2020,20:15,5,0.413,38.257,-85.757,38.253,-85.757,7,20
2e591db5-aabb-517d-abfe-095e08ed49a0,2/1/2020,20:15,2/1/2020,20:15,2,0.367,38.256,-85.748,38.254,-85.747,7,20
4880736d-38c2-5480-a193-597fedea1083,2/1/2020,20:15,2/1/2020,20:15,1,0.007,38.257,-85.761,38.257,-85.761,7,20
1e81c567-eee7-5d66-9931-f491524543d8,2/1/2020,20:30,2/1/2020,21:00,23,0.53,38.258,-85.745,38.258,-85.74,7,20
0dcdc563-a91e-5179-8f1a-e86fd547517a,2/1/2020,20:30,2/1/2020,20:30,1,0.3,38.214,-85.764,38.218,-85.763,7,20
65766d0e-0263-5487-9d21-6a6dff41757f,2/1/2020,20:30,2/1/2020,20:45,11,0.686,38.257,-85.758,38.256,-85.75,7,20
9d0d3f06-f93b-58d9-a2ed-fd441f452dd4,2/1/2020,20:45,2/1/2020,20:45,10,0.47,38.256,-85.764,38.251,-85.759,7,20
ac3caa21-a0d7-51cd-b3fb-ca070805fd63,2/1/2020,21:00,2/1/2020,21:15,16,2.371,38.258,-85.745,38.258,-85.743,7,20
25d33980-51db-5eee-828e-cb88e1763c37,2/2/2020,7:15,2/2/2020,7:30,5,0.699,38.206,-85.763,38.211,-85.774,1,7
5db80675-e313-5b69-82dd-ffe71dd68a07,2/2/2020,7:30,2/2/2020,7:45,2,0.28,38.218,-85.763,38.221,-85.765,1,7
bd66bc8b-2522-5110-a4f1-e6afb0eeeb56,2/2/2020,7:45,2/2/2020,8:00,3,0.25,38.248,-85.758,38.251,-85.758,1,7
319591e0-b74b-5212-9525-43f95938398d,2/2/2020,7:45,2/2/2020,7:45,8,1.387,38.251,-85.758,38.249,-85.757,1,7
13d0a4f2-f819-5fb6-9029-1e5d852dc0eb,2/2/2020,8:15,2/2/2020,8:45,28,0.491,38.221,-85.769,38.22,-85.769,1,8
b35ad967-e7a5-5cfa-a397-4a3bad9d8021,2/2/2020,8:15,2/2/2020,9:00,39,0.005,38.223,-85.768,38.223,-85.768,1,8
df9561c6-a613-51bf-98cb-06e7654a234c,2/2/2020,8:45,2/2/2020,9:30,40,0.8,38.213,-85.764,38.223,-85.757,1,8
